PlotID,invaded,mean
A77,0,0.273033282
A120,0,0.257518242
A665,0,0.213860627
A749,0,0.428740894
A1019,0,0.404276824
A1073,0,0.382588565
A1074,0,0.393875473
A2074,0,0.296560602
A2078,0,0.258021801
A3033,0,0.201518799
A3068,0,0.340220932
A3071,0,0.336153645
A3072,0,0.20989391
A3180,0,0.117794805
A4029,0,0.422506846
A4110,0,0.268454201
A5041,0,0.21697935
A5056,0,0.433146777
A5083,0,0.287001241
A5089,0,0.260347051
A6096,0,0.527307895
A6098,0,0.348024158
A6108,0,0.413240059
A6125,0,0.377116591
A6129,0,0.296188864
A7124,0,0.178571307
A7134,0,0.246187245
A10002,0,0.21960114
A10011,0,0.186449721
A1000027,0,0.165924873
A1000030,0,0.231081784
A1000032,0,0.196364652
A1000034,0,0.400032461
A1000038,0,0.472506424
A1000042,0,0.493741594
A1000048,0,0.41372521
A1000055,0,0.260953702
B14,0,0.445703129
B15,0,0.503134658
B16,0,0.509136932
B17,0,0.467984387
B19,0,0.403966759
B20,0,0.459469395
B23,0,0.455971963
B24,0,0.480929812
B25,0,0.47090539
B26,0,0.479034321
B27,0,0.409056527
B28,0,0.508000764
B29,0,0.382621254
B30,0,0.480290002
B31,0,0.451235544
B32,0,0.484593076
B33,0,0.46723712
B34,0,0.399296648
E1,0,0.384989909
E2,0,0.409772155
E3,0,0.415927932
E4,0,0.417737465
E5,0,0.388192642
E6,0,0.48346049
E7,0,0.419154672
E8,0,0.44757013
E9,0,0.420890396
E10,0,0.381782693
E11,0,0.381010727
E12,0,0.337365936
E13,0,0.457404441
E14,0,0.468092604
E15,0,0.449897545
E16,0,0.463956128
E17,0,0.477458182
E18,0,0.462551616
E19,0,0.505078197
E20,0,0.469173159
E21,0,0.2809329
E22,0,0.446732404
E23,0,0.416271895
E24,0,0.496011023
E25,0,0.40592438
E26,0,0.475477431
E27,0,0.488619945
E28,0,0.401311147
E29,0,0.369643066
E30,0,0.402175685
E31,0,0.433668081
E32,0,0.455425497
E33,0,0.227306154
E34,0,0.274523293
E35,0,0.418895757
E36,0,0.32612566
E37,0,0.478119158
E38,0,0.446941497
E39,0,0.427020278
E40,0,0.456815278
E41,0,0.394438497
E42,0,0.41547767
E43,0,0.397889254
E44,0,0.202201339
E45,0,0.445555306
E46,0,0.282760387
E47,0,0.424700029
E48,0,0.414735216
E49,0,0.28825037
E50,0,0.452919922
E51,0,0.459018658
E52,0,0.486927566
E53,0,0.400436075
E54,0,0.437528503
E55,0,0.460948183
A14,1,0.100916896
A455,1,0.29807332
A498,1,0.026335779
A516,1,0.28329145
A588,1,0.309895393
A1001,1,0.238676648
A1069,1,0.445201219
A1075,1,0.022904944
A1089,1,0.231416049
A1102,1,0.283476233
A1109,1,0.461652862
A1113,1,0.385161807
A1121,1,0.396109159
A2013,1,0.361003544
A2025,1,0.295147133
A2052,1,0.193670899
A2059,1,0.120237264
A2064,1,0.146846282
A2070,1,0.252336499
A2084,1,0.286049707
A2092,1,0.309944635
A2095,1,0.272409263
A2096,1,0.288901241
A2112,1,0.222743747
A2119,1,0.286241072
A2167,1,0.219997145
A2177,1,0.290493192
A2185,1,0.322456952
A3012,1,0.319882271
A3020,1,0.403438298
A3027,1,0.117852374
A3057,1,0.062003208
A3060,1,0.080497159
A3078,1,0.20108256
A3080,1,0.354934938
A3081,1,-0.058577913
A3086,1,0.260917212
A3094,1,0.296171483
A3096,1,0.320544203
A3116,1,0.344927891
A3145,1,0.183144631
A3147,1,0.076282084
A3169,1,0.17017863
A3172,1,0.167667854
A3182,1,0.064385479
A3185,1,0.149866602
A4024,1,0.390459274
A4109,1,0.156592837
A4184,1,0.319350702
A5053,1,0.242567363
A5059,1,0.386011505
A5060,1,0.132697369
A5076,1,0.248224505
A5077,1,0.479367785
A5078,1,0.296136459
A5100,1,0.381064769
A5119,1,0.063613409
A5131,1,0.089026489
A5164,1,0.276173433
A5179,1,0.321867235
A5196,1,0.316120544
A5197,1,0.139570547
A6136,1,0.508815186
A6154,1,0.402224432
A6164,1,0.447354903
A7012,1,0.465245095
A7019,1,0.454756718
A7072,1,0.42536623
A7139,1,0.462680204
A7148,1,0.538605647
A10000,1,0.440991483
A10003,1,0.176719855
A10004,1,0.487730817
A10005,1,0.205903307
A10006,1,0.211315275
A10007,1,0.231774858
A10008,1,0.32362394
A10009,1,0.377041539
A10013,1,0.235910718
A10014,1,0.153328709
A10016,1,0.220021439
A10017,1,0.180701795
A10018,1,0.151016876
A10020,1,0.357924454
A10021,1,0.40918135
A100002,1,0.317142092
A100005,1,-0.195780596
A100007,1,0.211096594
A1000012,1,0.27459306
A1000018,1,0.071838555
A1000022,1,0.101839307
A1000025,1,0.155975186
A1000039,1,0.448180976
A1000046,1,0.497041431
A1000050,1,0.387267035
A1000065,1,0.26717457
A1000067,1,0.24587384
A1000072,1,0.190723054
A1000090,1,0.311324653
A1000092,1,0.200374715
C1_Linday_0921_23,1,0.054877646
C2_Linday_0921_23,1,0.145788524
C3_Linday_0921_23,1,0.352900914
C4_Linday_0921_23,1,0.416728485
C5_Linday_0921_23,1,0.221183224
B1,1,0.174715553
B2,1,0.308780274
B3,1,0.255304424
B4,1,0.291902414
B5,1,0.123807548
B6,1,0.154621943
B7,1,0.299451678
B8,1,0.303598034
B9,1,0.422516633
B10,1,0.275443319
B11,1,0.357819709
B12,1,0.10667616
B13,1,0.169535242
4500516922,1,0.122520386
4438932131,1,-0.076719367
4430587001,1,0.305307609
4424535863,1,0.424284247
4421179011,1,0.137049182
4414045004,1,0.275088051
4414039167,1,0.346316186
4413683562,1,0.473985452
4413639599,1,0.487862805
4413607421,1,-0.113968138
4413517409,1,0.202096529
4413460490,1,0.123382943
4405124724,1,0.265535079
4133714153,1,0.340545035
4075860074,1,0.412537482
4054867432,1,0.412568162
3988492638,1,0.344556911
3966375703,1,0.363239839
3963505623,1,0.238268078
3947726698,1,-0.106701712
3947664294,1,0.164860639
3947461965,1,0.181738217
3888842476,1,0.174569493
3872925377,1,0.339064695
3802381075,1,0.331675268
3785079845,1,0.325690113
3785050382,1,0.356747792
3784753412,1,0.159706049
3772894580,1,-0.239058321
3772699094,1,0.168038963
3455575581,1,0.29813434
3124590711,1,0.528843861
3117897531,1,0.487028131
3113291724,1,0.066431117
3112734821,1,0.196970265
3112715635,1,0.302396719
3112385564,1,0.298910737
3112332111,1,0.245089993
3112323014,1,0.322048466
3109026872,1,0.449679805
3097266846,1,0.442221943
3067933208,1,0.267355212
3044801084,1,0.405575315
3044746022,1,0.341009292
3044576026,1,0.366098366
3031957659,1,0.518414341
3031956868,1,0.211756554
3031854715,1,0.355341428
3031807951,1,0.428968004
3031660863,1,0.258882451
3031657692,1,0.386090112
3031631656,1,0.379666957
3018064544,1,0.066756738
2992831860,1,0.24901226
2963798449,1,0.4441815
2898307747,1,0.194194189
2850852590,1,0.131948689
2826170566,1,0.408560012
2823110486,1,0.364142777
2823101748,1,0.307334814
2814222643,1,0.363004644
2814174625,1,0.410504582
2813895611,1,0.349605566
2634569404,1,0.320014397
2634508209,1,0.21803186
2634045427,1,0.407875391
2626648709,1,0.23483431
2626314272,1,0.342508416
2626215171,1,0.228530218
2626112684,1,0.321472192
2620142374,1,0.010336274
2620063131,1,0.071894864
2609272105,1,0.480228974
2603494506,1,0.35835882
2603468480,1,0.197131749
2603410079,1,0.348225407
2603337767,1,0.270209464
2580161134,1,0.20559716
2574245835,1,0.339594609
2549969579,1,0.133552063
2540736757,1,0.155888163
2517953548,1,0.395863654
2460037169,1,0.222645402
2444959387,1,0.307340853
2423219356,1,0.409971189
2252061098,1,0.409380517
2243022597,1,0.295104008
2238935188,1,0.252707231
2238921863,1,0.120824537
2238909200,1,0.304678234
2238899594,1,0.255421765
2238822770,1,0.130363427
2237504789,1,-0.07958656
2235511076,1,0.089486803
2005270361,1,0.446966486
1990602898,1,0.22489799
1990539294,1,0.194186806
1990455564,1,0.361711348
1990441600,1,0.353601025
1933593259,1,0.11125776
1914200823,1,0.224246293
1913701700,1,0.181046647
1880483379,1,0.338532563
1848789071,1,0.344171309
1841262367,1,0.379939441
1839257478,1,0.357765508
1837762072,1,0.227963399
1805398314,1,0.080452797
1703142925,1,0.414668709
1668824323,1,0.270947584
1572347101,1,0.484363427
1563441340,1,0.121534697
1562922964,1,0.226309187
1500321752,1,0.436195188
1500318661,1,-0.307992506
1500318527,1,0.002538243
4171714587,1,0.334409865
3925428546,1,0.09964687
3307191507,1,0.338695153
3118466608,1,0.25544102
2818766395,1,-0.017812395
2626294103,1,0.218287811
2542996075,1,0.319175806
1500318584,1,-0.080004644
4500776646,1,0.355243205
4458616228,1,0.367168644
4458572253,1,0.44420833
4453884190,1,0.356264041
4453773780,1,0.150649211
4442714100,1,0.267615213
4442468304,1,0.455053616
4438694702,1,0.466019968
4431101010,1,0.416331588
4430988382,1,0.378853128
4430968683,1,0.075369169
4430855290,1,0.449903836
4430518324,1,0.393778875
4430407748,1,0.280828678
4424614619,1,0.404917254
4424597940,1,0.191262957
4424306089,1,0.381427344
4421171747,1,0.255742504
4421103907,1,0.381798476
4420778002,1,0.213902624
4420678285,1,0.27131001
4417083994,1,0.19494625
4413740159,1,0.147526924
4407338554,1,0.362665586
4145302628,1,0.190312031
4145212538,1,0.39517144
4138549448,1,0.258241202
4137760045,1,0.355361595
4127151143,1,0.108772063
4126976183,1,0.473513127
4121281922,1,0.396561089
4120937132,1,0.428418607
4116319339,1,0.471867362
4116092241,1,0.542420245
4080615138,1,0.20137607
4067614629,1,0.498865668
4034747425,1,0.371376132
3994233913,1,0.403772723
3985695890,1,0.242845762
3966769310,1,0.428587662
3966738330,1,0.177560625
3963255634,1,0.47889609
3961376533,1,0.333925186
3961215195,1,0.486224943
3961129470,1,0.067817686
3960990472,1,0.492472322
3947732481,1,0.248701404
3947272959,1,0.136829095
3947259965,1,0.396904291
3947213752,1,0.064881805
3947159229,1,0.437288759
3947111120,1,0.445203055
3915639349,1,0.363012078
3915615795,1,0.151527722
3915443725,1,0.155952763
